PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2018,40,4887,6341,3886,X,1563,1298,17975,1266076,2611,1.41974,1.41876
2018,41,5332,6279,4048,X,1667,1326,18652,1266257,2651,1.473,1.40077
2018,42,5589,6802,4405,X,1752,1400,19948,1254844,2623,1.58968,1.47139
2018,43,6249,7487,4619,X,1835,1444,21634,1256271,2678,1.72208,1.63634
2018,44,6869,8291,4733,X,1825,1451,23169,1258405,2666,1.84114,1.79125
2018,45,7509,8451,4834,X,1840,1451,24085,1249921,2672,1.92692,1.86871
2018,46,7821,8076,5037,X,1998,1487,24419,1171062,2665,2.0852,1.98121
2018,47,8607,7197,5017,X,2112,1702,24635,1026187,2618,2.40063,2.23487
2018,48,8890,8788,6582,X,2758,2078,29096,1296156,2666,2.24479,2.14572
2018,49,8809,9276,5974,X,2456,1862,28377,1233986,2658,2.29962,2.25131
2018,50,10156,11376,6821,X,2779,1981,33113,1212127,2650,2.73181,2.6411
2018,51,11515,12816,8127,X,3322,2480,38260,1180820,2596,3.24012,3.13484
2018,52,13615,12044,10348,X,4471,3534,44012,1052725,2581,4.18077,3.96566
2019,1,11686,9572,11413,X,5204,4260,42135,1160440,2630,3.63095,3.45972
2019,2,9369,10758,10416,X,4826,3446,38815,1237552,2656,3.13643,3.07558
2019,3,9703,14265,10045,X,4235,2951,41199,1225384,2658,3.36213,3.32558
2019,4,10765,16965,11194,X,4457,2860,46241,1191426,2677,3.88115,3.79773
2019,5,11628,22217,13048,X,5116,3255,55264,1222020,2668,4.52235,4.34227
2019,6,13899,29772,15785,X,6174,4102,69732,1340765,2673,5.20091,4.86953
2019,7,14246,29255,15945,X,6333,4277,70056,1292464,2655,5.42034,5.03689
2019,8,13634,26502,15716,X,6124,4485,66461,1260932,2655,5.27078,4.8812
2019,9,11647,23468,13847,X,5706,4134,58802,1281115,2658,4.58991,4.54791
2019,10,11168,21760,13079,X,5368,4056,55431,1260615,2637,4.39714,4.3762
2019,11,10986,20081,12580,X,5353,4177,53177,1288273,2646,4.12777,4.22692
2019,12,9721,16800,10717,X,4532,3898,45668,1303765,2653,3.50278,3.68251
2019,13,8644,13642,8656,X,3811,3195,37948,1244935,2619,3.04819,3.08559
2019,14,7606,11768,7491,X,3274,2802,32941,1229217,2620,2.67984,2.69831
2019,15,6754,10005,6208,X,2568,2319,27854,1229148,2568,2.26612,2.28676
2019,16,6325,7904,4934,X,2108,1876,23147,1178058,2542,1.96484,2.01217
2019,17,5698,6621,4553,X,2000,1738,20610,1196855,2516,1.72201,1.71323
2019,18,5369,6207,4084,X,1667,1537,18864,1199386,2485,1.5728,1.56678
2019,19,4789,5906,3574,X,1480,1358,17107,1173980,2444,1.45718,1.49827
2019,20,4649,5530,3482,X,1437,1361,16459,1094840,2336,1.50332,1.49961
2019,21,4601,5232,3210,X,1346,1367,15756,1123834,2222,1.40199,1.42033
2019,22,4442,4659,3093,X,1279,1301,14774,1052725,2195,1.40341,1.39215
2019,23,3937,4114,2951,X,1242,1205,13449,1086942,2257,1.23732,1.21655
2019,24,3506,3739,2729,X,1051,1079,12104,1079303,2204,1.12146,1.11224
2019,25,3056,3284,2424,X,998,928,10690,1055994,2157,1.01232,0.990825
2019,26,2955,3109,2183,X,910,862,10019,1044573,2081,0.959148,0.944753
2019,27,2512,2718,1911,X,797,776,8714,992334,2153,0.878132,0.872915
2019,28,2346,2656,1882,X,799,736,8419,1060790,2110,0.793654,0.807891
2019,29,2222,2563,1861,X,757,703,8106,1058963,2153,0.765466,0.752293
2019,30,2138,2460,1805,X,763,615,7781,1040161,2139,0.748057,0.731643
2019,31,2354,2436,1830,X,658,604,7882,1041296,2150,0.756941,0.725363
2019,32,2102,2391,2042,X,766,758,8059,1046600,2166,0.770017,0.753996
2019,33,2634,2828,2046,X,788,694,8990,1079015,2199,0.833167,0.72883
2019,34,2911,3495,2211,X,761,716,10094,1074208,2168,0.939669,0.83813
2019,35,3428,4238,2559,X,896,777,11898,1100105,2191,1.08153,0.988182
2019,36,3810,4548,2927,X,1033,870,13188,1096931,2215,1.20226,1.13545
2019,37,3912,5502,3296,X,1173,959,14842,1165792,2243,1.27313,1.2314
2019,38,4469,5656,3577,X,1251,1026,15979,1152579,2222,1.38637,1.24054
2019,39,4981,6074,3879,X,1368,1100,17402,1166930,2207,1.49126,1.32855
