PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2013,40,2974,3769,1840,X,638,456,9677,854487,1960,1.13249,1.15746
2013,41,3276,3925,1924,X,762,533,10420,860298,1990,1.21121,1.27184
2013,42,3483,3880,2010,X,785,500,10658,848016,2018,1.25682,1.31623
2013,43,3930,4484,2292,X,816,514,12036,877917,2027,1.37097,1.37444
2013,44,4045,4642,2354,X,930,531,12502,874537,2028,1.42956,1.46781
2013,45,4434,5062,2511,X,953,538,13498,878845,2017,1.53588,1.5834
2013,46,4643,5000,2716,X,990,578,13927,868987,2054,1.60267,1.60253
2013,47,4835,5579,3088,X,1083,583,15168,875411,2012,1.73267,1.72344
2013,48,4937,4313,3027,X,1059,639,13975,665926,2042,2.09858,2.11076
2013,49,5549,6579,4375,X,1552,865,18920,854664,2055,2.21374,2.1708
2013,50,5501,7046,4458,X,1591,802,19398,802651,2054,2.41674,2.36971
2013,51,6555,8406,6525,X,2272,939,24697,814891,2009,3.03071,3.15997
2013,52,7814,7485,7499,X,2874,1316,26988,615148,2007,4.38724,4.59053
2014,1,7488,6726,9135,X,3555,1750,28654,680424,2033,4.2112,4.28195
2014,2,6233,7881,8846,X,3565,1622,28147,812343,2059,3.46492,3.56288
2014,3,6007,9517,8091,X,3149,1606,28370,855297,2049,3.31698,3.36378
2014,4,5878,8858,6818,X,2616,1332,25502,786928,2062,3.2407,3.39659
2014,5,5133,8714,6031,X,2403,1203,23484,813726,2051,2.88598,3.11922
2014,6,4729,7711,5278,X,2242,1125,21085,804244,2051,2.62172,2.83572
2014,7,4210,6717,4470,X,1829,969,18195,777340,2018,2.34067,2.48484
2014,8,4250,6121,4306,X,1684,873,17234,812700,2025,2.12059,2.2741
2014,9,3953,5875,3691,X,1505,890,15914,832786,1978,1.91094,2.07244
2014,10,3775,5575,3472,X,1430,792,15044,790831,1944,1.9023,1.98207
2014,11,3616,5022,3210,X,1360,816,14024,794024,1904,1.76619,1.82441
2014,12,3798,5611,3285,X,1422,810,14926,803374,1922,1.85791,1.82036
2014,13,3523,5812,3256,X,1298,772,14661,805133,1887,1.82094,1.75391
2014,14,3582,5659,3153,X,1436,807,14637,797863,1866,1.83453,1.74542
2014,15,3574,5587,2943,X,1316,786,14206,809707,1845,1.75446,1.67236
2014,16,3130,4279,2516,X,1088,710,11723,773101,1810,1.51636,1.51659
2014,17,2846,3770,2504,X,1036,658,10814,770592,1771,1.40334,1.44778
2014,18,2501,3591,2084,X,913,559,9648,766139,1746,1.2593,1.29028
2014,19,2789,3615,2009,X,834,528,9775,737834,1714,1.32482,1.37388
2014,20,2544,3256,1876,X,825,532,9033,708049,1660,1.27576,1.34208
2014,21,2733,3068,1742,X,771,483,8797,679395,1570,1.29483,1.34563
2014,22,2528,2459,1542,X,625,504,7658,624582,1554,1.2261,1.21291
2014,23,2383,2349,1492,X,607,398,7229,631143,1461,1.14538,1.19291
2014,24,2227,2181,1413,X,561,401,6783,635233,1461,1.0678,1.14146
2014,25,2159,2009,1285,X,528,388,6369,593740,1392,1.07269,1.06503
2014,26,2049,1917,1235,X,509,328,6038,596063,1411,1.01298,1.12669
2014,27,1865,1688,1075,X,416,308,5352,538049,1388,0.994705,0.947353
2014,28,1758,1623,1122,X,441,351,5295,601116,1394,0.880862,0.944187
2014,29,1582,1621,1116,X,403,361,5083,592305,1376,0.858173,0.934822
2014,30,1455,1450,1128,X,398,334,4765,591814,1372,0.805152,0.81736
2014,31,1450,1655,1094,X,417,326,4942,603580,1378,0.818781,0.852792
2014,32,1460,1528,1074,X,409,273,4744,605307,1382,0.783735,0.746994
2014,33,1528,1631,1107,X,403,311,4980,586778,1369,0.848703,0.761098
2014,34,1569,1813,1196,X,412,315,5305,635980,1371,0.834146,0.767627
2014,35,1684,2184,1223,X,401,307,5799,640080,1353,0.905981,0.862176
2014,36,1753,2258,1284,X,453,302,6050,578913,1352,1.04506,0.984907
2014,37,2300,3316,1550,X,568,396,8130,695966,1401,1.16816,1.16287
2014,38,2535,3650,1705,X,605,393,8888,696282,1405,1.27649,1.22731
2014,39,2522,3447,1820,X,657,428,8874,683887,1407,1.29758,1.2071
