PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2019,40,6240,7679,4824,X,1773,1445,21961,1460252,2912,1.50392,1.49367
2019,41,6573,7638,5146,X,2022,1601,22980,1438727,2943,1.59725,1.59315
2019,42,7304,8295,5551,X,2115,1647,24912,1432866,2967,1.73861,1.72743
2019,43,7894,9367,6075,X,2310,1794,27440,1475680,2998,1.85948,1.83626
2019,44,8678,10060,6134,X,2284,1758,28914,1437828,3007,2.01095,2.0398
2019,45,10561,12501,7161,X,2464,1839,34526,1464860,3022,2.35695,2.39263
2019,46,11424,13533,7853,X,2743,1965,37518,1428594,2990,2.62622,2.62867
2019,47,12659,16866,9062,X,3103,2135,43825,1486871,2986,2.94746,2.89118
2019,48,14363,14669,9114,X,3206,2358,43710,1277556,2994,3.42138,3.40556
2019,49,13795,16275,11862,X,3940,2774,48646,1478190,2996,3.29092,3.25406
2019,50,14672,21797,12778,X,4135,2899,56281,1460619,2958,3.85323,3.93868
2019,51,17992,29110,16224,X,4846,3348,71520,1426233,2926,5.01461,5.06212
2019,52,24051,33946,24591,X,7660,5399,95647,1340745,2917,7.13387,7.06703
2020,1,21580,23399,27630,X,9229,6862,88700,1427254,2962,6.21473,5.92377
2020,2,15514,22683,23549,X,8196,5448,75390,1489239,2992,5.06232,4.93322
2020,3,16491,29533,21345,X,7373,4724,79466,1485076,2982,5.35097,5.33059
2020,4,18498,35154,23536,X,7963,4646,89797,1494353,2984,6.00909,6.0757
2020,5,20181,43932,28712,X,9518,5449,107792,1568898,2980,6.87056,6.74855
2020,6,20122,45337,29696,X,10039,5664,110858,1565539,2988,7.08114,6.81492
2020,7,17236,36716,26250,X,9211,5414,94827,1525570,2951,6.21584,6.13258
2020,8,15185,28331,23018,X,8313,5153,80000,1425270,2966,5.61297,5.54036
2020,9,13636,25239,21907,X,8255,5056,74093,1453436,2919,5.09778,5.14253
2020,10,13683,26165,23657,X,8864,5639,78008,1475834,2882,5.28569,5.29562
2020,11,13931,27524,29473,X,11304,6648,88880,1404718,2805,6.32725,5.73414
2020,12,10662,17387,30700,X,12464,6946,78159,1053401,2755,7.41968,6.46448
2020,13,5065,8248,22332,X,10801,6405,52851,839363,2664,6.29656,4.95749
2020,14,2350,4836,14887,X,8668,5352,36093,734488,2612,4.91404,3.83349
2020,15,1450,3372,9919,X,6013,3983,24737,700169,2599,3.533,2.82397
2020,16,1026,2596,7350,X,4160,2894,18026,689833,2576,2.6131,2.12704
2020,17,885,2266,6279,X,3250,2271,14951,719483,2495,2.07802,1.77374
2020,18,817,2006,5020,X,2577,1861,12281,746926,2382,1.64421,1.47002
