PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2017,40,3849,4556,2488,X,1071,875,12839,1002892,2220,1.2802,1.26589
2017,41,4118,4453,2676,X,1073,947,13267,996595,2245,1.33123,1.30479
2017,42,4408,4993,2805,X,1139,974,14319,1017076,2266,1.40786,1.34075
2017,43,5006,5531,2922,X,1324,1049,15832,1006998,2266,1.5722,1.51674
2017,44,5219,6134,3289,X,1365,1062,17069,1002140,2222,1.70326,1.74583
2017,45,6126,6671,3609,X,1522,1129,19057,1021079,2288,1.86636,1.88708
2017,46,6880,7577,4243,X,1805,1387,21892,1054290,2296,2.07647,2.05923
2017,47,6945,5875,3844,X,1707,1445,19816,848314,2271,2.33593,2.27971
2017,48,7008,7474,5235,X,2206,1829,23752,1057350,2279,2.24637,2.28379
2017,49,7229,8488,5046,X,2335,1857,24955,1000183,2272,2.49504,2.58278
2017,50,8285,11259,6671,X,2955,2332,31502,984283,2262,3.2005,3.36558
2017,51,10447,14166,9856,X,4580,3733,42782,963978,2211,4.43807,4.73117
2017,52,11335,11540,11507,X,5754,5119,45255,828299,2132,5.46361,5.70943
2018,1,9410,11717,13383,X,6871,5888,47269,882271,2243,5.35765,5.74658
2018,2,10053,17357,15380,X,7772,6199,56761,1027466,2257,5.52437,5.89207
2018,3,11997,21897,16012,X,7569,5561,63036,993431,2286,6.34528,6.51759
2018,4,13408,30625,18317,X,8911,6065,77326,1101807,2288,7.01811,7.16338
2018,5,14844,37200,19086,X,8915,5940,85985,1105078,2275,7.7809,7.52133
2018,6,15192,38606,19527,X,8626,5874,87825,1130397,2299,7.76939,7.38748
2018,7,13365,32124,17203,X,8079,5439,76210,1118800,2227,6.81176,6.44688
2018,8,10154,20450,12437,X,5805,4179,53025,1028116,2272,5.15749,4.95881
2018,9,7208,13392,8485,X,4104,2875,36064,1013191,2208,3.55945,3.68612
2018,10,6368,10850,6485,X,3138,2292,29133,969427,2214,3.00518,3.18626
2018,11,5588,9468,5928,X,2822,2132,25938,949978,2201,2.73038,2.76894
2018,12,5223,8640,5408,X,2563,1971,23805,960779,2180,2.47768,2.48706
2018,13,4721,7214,4720,X,2295,1743,20693,875658,2144,2.36314,2.40802
2018,14,4553,6218,4459,X,2153,1691,19074,938963,2127,2.03139,2.07483
2018,15,4145,5505,3749,X,1818,1447,16664,923848,2086,1.80376,1.77898
2018,16,3856,5269,3214,X,1427,1103,14869,936950,2112,1.58696,1.61487
2018,17,3723,5336,3026,X,1371,1096,14552,946160,2088,1.53801,1.5385
2018,18,3658,4815,2604,X,1217,997,13291,916783,2018,1.44974,1.52612
2018,19,3444,4133,2205,X,935,902,11619,909661,1933,1.27729,1.28847
2018,20,3359,3764,2239,X,905,799,11066,906668,1977,1.22051,1.18344
2018,21,3385,3429,2082,X,884,866,10646,863879,1896,1.23235,1.24919
2018,22,3220,2987,1822,X,846,733,9608,785606,1802,1.223,1.14131
2018,23,2847,2552,1838,X,802,654,8693,830040,1798,1.0473,0.9878
2018,24,2375,2245,1596,X,699,658,7573,774246,1753,0.978113,0.895565
2018,25,2312,2162,1554,X,729,616,7373,778114,1773,0.947548,0.892204
2018,26,2206,1916,1530,X,669,626,6947,800757,1736,0.867554,0.877184
2018,27,2009,1862,1299,X,539,549,6258,760130,1780,0.82328,0.780203
2018,28,1943,1901,1443,X,627,587,6501,842647,1785,0.771497,0.725075
2018,29,1741,1720,1290,X,566,469,5786,818597,1748,0.706819,0.68247
2018,30,1665,1643,1202,X,524,463,5497,802300,1741,0.685155,0.640393
2018,31,1618,1769,1246,X,525,454,5612,816468,1724,0.687351,0.639127
2018,32,1726,1784,1334,X,541,476,5861,796621,1690,0.735733,0.705637
2018,33,1986,2170,1387,X,516,478,6537,810994,1725,0.806048,0.707801
2018,34,2239,2468,1492,X,609,515,7323,775731,1610,0.944013,0.822659
2018,35,2445,2830,1638,X,656,542,8111,844807,1681,0.960101,0.859864
2018,36,2814,3343,1985,X,767,621,9530,835027,1710,1.14128,1.10083
2018,37,2773,3660,2112,X,829,691,10065,876862,1708,1.14784,1.15323
2018,38,3242,3949,2347,X,922,729,11189,853109,1684,1.31156,1.20178
2018,39,3481,4198,2488,X,931,669,11767,933130,1710,1.26102,1.2498
