PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2016,40,3110,4169,2114,X,828,643,10864,852842,1946,1.27386,1.2019
2016,41,3207,4078,2155,X,879,678,10997,850228,1973,1.29342,1.23108
2016,42,3564,4452,2234,X,981,695,11926,896035,1983,1.33097,1.26796
2016,43,3786,4769,2406,X,987,700,12648,886570,2006,1.42662,1.36298
2016,44,4314,5287,2444,X,1030,715,13790,877947,1999,1.57071,1.48535
2016,45,4703,5193,2549,X,1055,758,14258,863356,1990,1.65146,1.55954
2016,46,4979,5610,2659,X,1083,829,15160,874739,2000,1.73309,1.64783
2016,47,5032,4567,2634,X,1108,867,14208,698566,2011,2.03388,1.91275
2016,48,5209,5655,3326,X,1359,1056,16605,881694,2001,1.88331,1.81725
2016,49,5501,5812,3188,X,1413,1047,16961,846813,2013,2.00292,1.91433
2016,50,5744,6724,3491,X,1485,1019,18463,810736,2000,2.27731,2.21003
2016,51,6653,7469,4099,X,1923,1421,21565,739882,1977,2.91465,2.73568
2016,52,7712,7144,5247,X,2652,2145,24900,701569,1928,3.54919,3.36832
2017,1,6716,6786,5673,X,2773,2230,24178,784740,2024,3.08102,3.09689
2017,2,6020,8843,5313,X,2639,2082,24897,824746,1997,3.01875,3.07346
2017,3,6399,12147,5588,X,2717,1930,28781,845391,2029,3.40446,3.51643
2017,4,6958,14073,5788,X,2623,1823,31265,886023,2021,3.52869,3.8027
2017,5,7452,17482,6522,X,2968,2093,36517,889216,2024,4.10665,4.50313
2017,6,8110,20150,8235,X,3749,2646,42890,901978,2027,4.7551,5.06308
2017,7,7726,18692,8328,X,3652,2637,41035,882163,1967,4.65163,4.86009
2017,8,7649,17300,8560,X,3807,2808,40124,877892,1987,4.57049,4.57916
2017,9,6129,12394,6496,X,2983,2181,30183,873547,1995,3.45522,3.55674
2017,10,5854,11552,5970,X,2766,1918,28060,851580,1971,3.29505,3.50417
2017,11,5503,10084,5535,X,2582,1780,25484,805370,1958,3.16426,3.21511
2017,12,5514,11503,5858,X,2641,1838,27354,869946,1940,3.14433,3.10088
2017,13,5145,10149,5070,X,2354,1624,24342,845397,1899,2.87936,2.79056
2017,14,4488,8178,3918,X,1760,1333,19677,830332,1906,2.36977,2.38547
2017,15,3909,5847,3151,X,1470,1171,15548,802052,1861,1.93853,1.9703
2017,16,3306,4683,2766,X,1258,993,13006,792740,1845,1.64064,1.73442
2017,17,2997,4497,2391,X,1111,928,11924,808298,1846,1.4752,1.56303
2017,18,2890,4105,2039,X,1011,717,10762,781240,1795,1.37755,1.4128
2017,19,2751,3831,2037,X,862,721,10202,762648,1767,1.33771,1.27492
2017,20,2685,3518,2011,X,886,709,9809,728288,1746,1.34686,1.2834
2017,21,2341,3060,1745,X,771,647,8564,676574,1614,1.26579,1.16663
2017,22,2311,2575,1577,X,710,583,7756,617021,1569,1.25701,1.10977
2017,23,2412,2377,1459,X,671,591,7510,647145,1493,1.16048,1.04333
2017,24,2049,2099,1346,X,595,547,6636,633003,1470,1.04834,0.905151
2017,25,1930,1971,1282,X,559,498,6240,628582,1469,0.992711,0.902718
2017,26,1771,1748,1121,X,489,467,5596,581945,1422,0.961603,0.859531
2017,27,1728,1564,1111,X,505,418,5326,557219,1456,0.955818,0.818998
2017,28,1545,1578,1004,X,462,372,4961,599446,1405,0.827597,0.752505
2017,29,1549,1421,908,X,450,419,4747,584688,1384,0.811886,0.731146
2017,30,1576,1515,953,X,459,376,4879,596071,1377,0.818527,0.733295
2017,31,1529,1485,1037,X,415,433,4899,590413,1390,0.829758,0.73102
2017,32,1559,1481,1044,X,441,390,4915,593239,1386,0.828503,0.68834
2017,33,1603,1691,1097,X,427,412,5230,590363,1350,0.885896,0.732049
2017,34,1964,2549,1256,X,473,411,6653,631507,1379,1.05351,0.911188
2017,35,2076,2726,1302,X,526,503,7133,638196,1370,1.11768,1.02105
2017,36,2073,2488,1369,X,587,555,7072,620201,1384,1.14028,1.09495
2017,37,2372,2942,1656,X,706,628,8304,732755,1485,1.13326,1.09475
2017,38,2544,3075,1625,X,664,655,8563,728214,1484,1.17589,1.09775
2017,39,2840,3201,1652,X,746,640,9079,733077,1468,1.23848,1.18882
